Date,Time,Open,High,Low,Close,Volume
02/18/2026,1600,48.5673,48.5673,48.5673,48.5673,7549
02/19/2026,1600,51.5824,51.5824,51.5824,51.5824,5599
02/20/2026,1600,45.7098,45.7098,45.7098,45.7098,7672
02/23/2026,1600,46.1351,46.1351,46.1351,46.1351,6272
02/24/2026,1600,47.3081,47.3081,47.3081,47.3081,18011
02/25/2026,1600,44.1445,44.1445,44.1445,44.1445,9909
02/26/2026,1600,43.9826,43.9826,43.9826,43.9826,7774
02/27/2026,1600,42.0008,42.0008,42.0008,42.0008,7076
03/02/2026,1600,48.3118,48.3118,48.3118,48.3118,7079
03/03/2026,1600,42.7653,42.7653,42.7653,42.7653,7820
03/04/2026,1600,45.3099,45.3099,45.3099,45.3099,8969
03/05/2026,1600,49.5695,49.5695,49.5695,49.5695,7643
03/06/2026,1600,41.8564,41.8564,41.8564,41.8564,7239
03/09/2026,1600,41.3773,41.3773,41.3773,41.3773,8882
03/10/2026,1600,44.4689,44.4689,44.4689,44.4689,7023
03/11/2026,1600,49.1064,49.1064,49.1064,49.1064,5031
03/12/2026,1600,45.3055,45.3055,45.3055,45.3055,6262
03/13/2026,1600,48.2950,48.2950,48.2950,48.2950,5673
03/16/2026,1600,47.0910,47.0910,47.0910,47.0910,6406
03/17/2026,1600,51.0712,51.0712,51.0712,51.0712,4728
03/18/2026,1600,46.1007,46.1007,46.1007,46.1007,6451
03/19/2026,1600,48.0193,48.0193,48.0193,48.0193,6847
03/20/2026,1600,38.6725,38.6725,38.6725,38.6725,8958
03/23/2026,1600,41.6302,41.6302,41.6302,41.6302,7013
03/24/2026,1600,52.3632,52.3632,52.3632,52.3632,5868
03/25/2026,1600,46.0996,46.0996,46.0996,46.0996,11269
03/26/2026,1600,43.5182,43.5182,43.5182,43.5182,11724
03/27/2026,1600,46.0090,46.0090,46.0090,46.0090,6285
03/30/2026,1600,46.7056,46.7056,46.7056,46.7056,8807
03/31/2026,1600,40.9868,40.9868,40.9868,40.9868,10609
04/01/2026,1600,46.5595,46.5595,46.5595,46.5595,9133
04/02/2026,1600,50.9110,50.9110,50.9110,50.9110,8658
04/06/2026,1600,49.5826,49.5826,49.5826,49.5826,7312
04/07/2026,1600,48.2922,48.2922,48.2922,48.2922,6174
04/08/2026,1600,44.7891,44.7891,44.7891,44.7891,8962
04/09/2026,1600,47.2706,47.2706,47.2706,47.2706,6941
04/10/2026,1600,46.0538,46.0538,46.0538,46.0538,9500
04/13/2026,1600,45.2422,45.2422,45.2422,45.2422,6042
04/14/2026,1600,45.8920,45.8920,45.8920,45.8920,7031
04/15/2026,1600,45.1970,45.1970,45.1970,45.1970,6881
04/16/2026,1600,51.4604,51.4604,51.4604,51.4604,18531
04/17/2026,1600,42.5650,42.5650,42.5650,42.5650,11497
04/20/2026,1600,47.9925,47.9925,47.9925,47.9925,10570
04/21/2026,1600,50.4505,50.4505,50.4505,50.4505,11534
04/22/2026,1600,48.6442,48.6442,48.6442,48.6442,15386
04/23/2026,1600,48.3514,48.3514,48.3514,48.3514,14818
04/24/2026,1600,45.2131,45.2131,45.2131,45.2131,29734
04/27/2026,1600,47.9507,47.9507,47.9507,47.9507,18299
04/28/2026,1600,45.6890,45.6890,45.6890,45.6890,14933
04/29/2026,1600,52.5898,52.5898,52.5898,52.5898,15637
04/30/2026,1600,48.7608,48.7608,48.7608,48.7608,15715
05/01/2026,1600,48.0164,48.0164,48.0164,48.0164,13023
05/04/2026,1600,46.6805,46.6805,46.6805,46.6805,15415
05/05/2026,1600,41.5217,41.5217,41.5217,41.5217,25432
05/06/2026,1600,45.2170,45.2170,45.2170,45.2170,38873
05/07/2026,1600,46.7527,46.7527,46.7527,46.7527,19843
05/08/2026,1600,40.2337,40.2337,40.2337,40.2337,29666
05/11/2026,1600,41.9587,41.9587,41.9587,41.9587,24062
05/12/2026,1600,47.9164,47.9164,47.9164,47.9164,18522
