time,open,high,low,close,volume
2025-06-11,32.4800,32.4800,32.4800,32.4800,0
2025-06-12,33.6300,33.6300,33.6300,33.6300,0
2025-06-13,32.0200,32.0200,32.0200,32.0200,0
2025-06-16,33.1000,33.1000,33.1000,33.1000,0
2025-06-17,33.6500,33.6500,33.6500,33.6500,0
2025-06-18,36.2500,36.2500,36.2500,36.2500,0
2025-06-20,36.1900,36.1900,36.1900,36.1900,0
2025-06-23,33.9100,33.9100,33.9100,33.9100,0
2025-06-24,33.2900,33.2900,33.2900,33.2900,0
2025-06-25,34.3900,34.3900,34.3900,34.3900,0
2025-06-26,34.2100,34.2100,34.2100,34.2100,0
2025-06-27,29.8500,29.8500,29.8500,29.8500,0
2025-06-30,28.3500,28.3500,28.3500,28.3500,0
2025-07-01,26.4300,26.4300,26.4300,26.4300,0
2025-07-02,32.4600,32.4600,32.4600,32.4600,0
2025-07-03,37.5200,37.5200,37.5200,37.5200,0
2025-07-07,41.0700,41.0700,41.0700,41.0700,0
2025-07-08,35.1600,35.1600,35.1600,35.1600,0
2025-07-09,41.8700,41.8700,41.8700,41.8700,0
2025-07-10,29.3200,29.3200,29.3200,29.3200,0
2025-07-11,35.3200,35.3200,35.3200,35.3200,0
2025-07-14,47.2600,47.2600,47.2600,47.2600,0
2025-07-15,36.6000,36.6000,36.6000,36.6000,0
2025-07-16,46.9400,46.9400,46.9400,46.9400,0
2025-07-17,34.5900,34.5900,34.5900,34.5900,0
2025-07-18,32.6000,32.6000,32.6000,32.6000,0
2025-07-21,27.8800,27.8800,27.8800,27.8800,0
2025-07-22,48.9900,48.9900,48.9900,48.9900,0
2025-07-23,45.2200,45.2200,45.2200,45.2200,0
2025-07-24,40.5800,40.5800,40.5800,40.5800,0
2025-07-25,31.5500,31.5500,31.5500,31.5500,0
2025-07-28,31.4000,31.4000,31.4000,31.4000,0
2025-07-29,28.8700,28.8700,28.8700,28.8700,0
2025-07-30,30.7200,30.7200,30.7200,30.7200,0
2025-07-31,45.5100,45.5100,45.5100,45.5100,0
2025-08-01,33.7700,33.7700,33.7700,33.7700,0
2025-08-04,38.0600,38.0600,38.0600,38.0600,0
2025-08-05,35.1700,35.1700,35.1700,35.1700,0
2025-08-06,38.4500,38.4500,38.4500,38.4500,0
2025-08-07,31.0600,31.0600,31.0600,31.0600,0
2025-08-08,27.9500,27.9500,27.9500,27.9500,0
2025-08-11,31.6900,31.6900,31.6900,31.6900,0
2025-08-12,31.6600,31.6600,31.6600,31.6600,0
2025-08-13,31.6200,31.6200,31.6200,31.6200,0
2025-08-14,32.9500,32.9500,32.9500,32.9500,0
2025-08-15,49.0800,49.0800,49.0800,49.0800,0
2025-08-18,43.8600,43.8600,43.8600,43.8600,0
2025-08-19,35.7400,35.7400,35.7400,35.7400,0
2025-08-20,46.2400,46.2400,46.2400,46.2400,0
2025-08-21,40.6500,40.6500,40.6500,40.6500,0
2025-08-22,32.6800,32.6800,32.6800,32.6800,0
2025-08-25,36.0900,36.0900,36.0900,36.0900,0
2025-08-26,38.2200,38.2200,38.2200,38.2200,0
2025-08-27,39.7000,39.7000,39.7000,39.7000,0
2025-08-28,30.7400,30.7400,30.7400,30.7400,0
2025-08-29,61.1200,61.1200,61.1200,61.1200,0
2025-09-02,40.6300,40.6300,40.6300,40.6300,0
2025-09-03,45.5500,45.5500,45.5500,45.5500,0
2025-09-04,47.0900,47.0900,47.0900,47.0900,0
2025-09-05,34.8600,34.8600,34.8600,34.8600,0
2025-09-08,36.4500,36.4500,36.4500,36.4500,0
2025-09-09,35.4400,35.4400,35.4400,35.4400,0
2025-09-10,31.3100,31.3100,31.3100,31.3100,0
2025-09-11,30.0400,30.0400,30.0400,30.0400,0
2025-09-12,37.5500,37.5500,37.5500,37.5500,0
2025-09-15,35.5400,35.5400,35.5400,35.5400,0
2025-09-16,31.9700,31.9700,31.9700,31.9700,0
2025-09-17,37.0300,37.0300,37.0300,37.0300,0
2025-09-18,38.4700,38.4700,38.4700,38.4700,0
2025-09-19,52.5900,52.5900,52.5900,52.5900,0
2025-09-22,45.3800,45.3800,45.3800,45.3800,0
2025-09-23,39.4300,39.4300,39.4300,39.4300,0
2025-09-24,43.8100,43.8100,43.8100,43.8100,0
2025-09-25,44.0400,44.0400,44.0400,44.0400,0
2025-09-26,45.9400,45.9400,45.9400,45.9400,0
2025-09-29,37.7800,37.7800,37.7800,37.7800,0
2025-09-30,44.4800,44.4800,44.4800,44.4800,0
2025-10-01,36.6800,36.6800,36.6800,36.6800,0
2025-10-02,36.2900,36.2900,36.2900,36.2900,0
2025-10-03,41.5600,41.5600,41.5600,41.5600,0
2025-10-06,46.6600,46.6600,46.6600,46.6600,0
2025-10-07,56.3000,56.3000,56.3000,56.3000,0
2025-10-08,46.9000,46.9000,46.9000,46.9000,0
2025-10-09,39.7000,39.7000,39.7000,39.7000,0
2025-10-10,53.5400,53.5400,53.5400,53.5400,0
2025-10-13,38.0500,38.0500,38.0500,38.0500,0
2025-10-14,45.2600,45.2600,45.2600,45.2600,0
2025-10-15,42.4200,42.4200,42.4200,42.4200,0
2025-10-16,35.6600,35.6600,35.6600,35.6600,0
2025-10-17,35.9000,35.9000,35.9000,35.9000,0
2025-10-20,32.7200,32.7200,32.7200,32.7200,0
2025-10-21,40.8100,40.8100,40.8100,40.8100,0
2025-10-22,49.4100,49.4100,49.4100,49.4100,0
2025-10-23,31.1900,31.1900,31.1900,31.1900,0
2025-10-24,29.9200,29.9200,29.9200,29.9200,0
2025-10-27,36.1600,36.1600,36.1600,36.1600,0
2025-10-28,40.3700,40.3700,40.3700,40.3700,0
2025-10-29,38.5100,38.5100,38.5100,38.5100,0
2025-10-30,35.2300,35.2300,35.2300,35.2300,0
2025-10-31,45.8400,45.8400,45.8400,45.8400,0
2025-11-03,41.3400,41.3400,41.3400,41.3400,0
2025-11-04,49.8800,49.8800,49.8800,49.8800,0
2025-11-05,43.8600,43.8600,43.8600,43.8600,0
2025-11-06,46.6200,46.6200,46.6200,46.6200,0
2025-11-07,50.2800,50.2800,50.2800,50.2800,0
2025-11-10,38.3700,38.3700,38.3700,38.3700,0
2025-11-11,44.1600,44.1600,44.1600,44.1600,0
2025-11-12,40.3900,40.3900,40.3900,40.3900,0
2025-11-13,46.3200,46.3200,46.3200,46.3200,0
2025-11-14,41.1300,41.1300,41.1300,41.1300,0
2025-11-17,43.2300,43.2300,43.2300,43.2300,0
2025-11-18,44.3300,44.3300,44.3300,44.3300,0
2025-11-19,37.7700,37.7700,37.7700,37.7700,0
2025-11-20,43.2100,43.2100,43.2100,43.2100,0
2025-11-21,39.9800,39.9800,39.9800,39.9800,0
2025-11-24,36.0900,36.0900,36.0900,36.0900,0
2025-11-25,38.3700,38.3700,38.3700,38.3700,0
2025-11-26,35.7400,35.7400,35.7400,35.7400,0
2025-11-28,39.6700,39.6700,39.6700,39.6700,0
2025-12-01,39.1000,39.1000,39.1000,39.1000,0
2025-12-02,39.5400,39.5400,39.5400,39.5400,0
2025-12-03,38.7800,38.7800,38.7800,38.7800,0
2025-12-04,39.2200,39.2200,39.2200,39.2200,0
2025-12-05,34.7400,34.7400,34.7400,34.7400,0
2025-12-08,36.8100,36.8100,36.8100,36.8100,0
2025-12-09,41.9600,41.9600,41.9600,41.9600,0
2025-12-10,37.8200,37.8200,37.8200,37.8200,0
2025-12-11,41.5800,41.5800,41.5800,41.5800,0
2025-12-12,46.1400,46.1400,46.1400,46.1400,0
2025-12-15,41.3000,41.3000,41.3000,41.3000,0
2025-12-16,45.2400,45.2400,45.2400,45.2400,0
2025-12-17,45.6700,45.6700,45.6700,45.6700,0
2025-12-18,37.2400,37.2400,37.2400,37.2400,0
2025-12-19,36.6600,36.6600,36.6600,36.6600,0
2025-12-22,37.1500,37.1500,37.1500,37.1500,0
2025-12-23,29.8200,29.8200,29.8200,29.8200,0
2025-12-24,28.2600,28.2600,28.2600,28.2600,0
2025-12-26,34.4500,34.4500,34.4500,34.4500,0
2025-12-29,31.9000,31.9000,31.9000,31.9000,0
2025-12-30,42.6000,42.6000,42.6000,42.6000,0
2025-12-31,42.1000,42.1000,42.1000,42.1000,0
2026-01-02,32.1000,32.1000,32.1000,32.1000,0
2026-01-05,27.1300,27.1300,27.1300,27.1300,0
2026-01-06,34.1400,34.1400,34.1400,34.1400,0
2026-01-07,38.3300,38.3300,38.3300,38.3300,0
2026-01-08,45.4100,45.4100,45.4100,45.4100,0
2026-01-09,39.2400,39.2400,39.2400,39.2400,0
2026-01-12,33.7800,33.7800,33.7800,33.7800,0
2026-01-13,32.5800,32.5800,32.5800,32.5800,0
2026-01-14,45.9300,45.9300,45.9300,45.9300,0
2026-01-15,33.4900,33.4900,33.4900,33.4900,0
2026-01-16,39.7400,39.7400,39.7400,39.7400,0
2026-01-20,57.7700,57.7700,57.7700,57.7700,0
2026-01-21,50.9700,50.9700,50.9700,50.9700,0
2026-01-22,46.1800,46.1800,46.1800,46.1800,0
2026-01-23,62.7000,62.7000,62.7000,62.7000,0
2026-01-26,60.7500,60.7500,60.7500,60.7500,0
2026-01-27,54.3900,54.3900,54.3900,54.3900,0
2026-01-28,45.8700,45.8700,45.8700,45.8700,0
2026-01-29,47.8400,47.8400,47.8400,47.8400,0
2026-01-30,61.8400,61.8400,61.8400,61.8400,0
2026-02-02,60.0700,60.0700,60.0700,60.0700,0
2026-02-03,61.7600,61.7600,61.7600,61.7600,0
2026-02-04,59.7800,59.7800,59.7800,59.7800,0
2026-02-05,54.9600,54.9600,54.9600,54.9600,0
2026-02-06,46.8900,46.8900,46.8900,46.8900,0
2026-02-09,49.7500,49.7500,49.7500,49.7500,0
2026-02-10,57.4900,57.4900,57.4900,57.4900,0
2026-02-11,52.5900,52.5900,52.5900,52.5900,0
2026-02-12,50.7700,50.7700,50.7700,50.7700,0
2026-02-13,61.0600,61.0600,61.0600,61.0600,0
2026-02-17,56.0300,56.0300,56.0300,56.0300,0
2026-02-18,57.9000,57.9000,57.9000,57.9000,0
2026-02-19,60.4100,60.4100,60.4100,60.4100,0
2026-02-20,58.8900,58.8900,58.8900,58.8900,0
2026-02-23,61.8000,61.8000,61.8000,61.8000,0
2026-02-24,49.2000,49.2000,49.2000,49.2000,0
2026-02-25,47.1500,47.1500,47.1500,47.1500,0
2026-02-26,65.0600,65.0600,65.0600,65.0600,0
2026-02-27,59.8900,59.8900,59.8900,59.8900,0
2026-03-02,64.0900,64.0900,64.0900,64.0900,0
2026-03-03,62.8600,62.8600,62.8600,62.8600,0
2026-03-04,56.4200,56.4200,56.4200,56.4200,0
2026-03-05,60.7300,60.7300,60.7300,60.7300,0
2026-03-06,66.4900,66.4900,66.4900,66.4900,0
2026-03-09,54.7300,54.7300,54.7300,54.7300,0
2026-03-10,49.3100,49.3100,49.3100,49.3100,0
2026-03-11,52.4800,52.4800,52.4800,52.4800,0
2026-03-12,59.1600,59.1600,59.1600,59.1600,0
2026-03-13,56.0800,56.0800,56.0800,56.0800,0
2026-03-16,50.6400,50.6400,50.6400,50.6400,0
2026-03-17,55.8600,55.8600,55.8600,55.8600,0
2026-03-18,53.8100,53.8100,53.8100,53.8100,0
2026-03-19,56.3200,56.3200,56.3200,56.3200,0
2026-03-20,62.2500,62.2500,62.2500,62.2500,0
2026-03-23,43.8400,43.8400,43.8400,43.8400,0
2026-03-24,52.0900,52.0900,52.0900,52.0900,0
2026-03-25,44.6400,44.6400,44.6400,44.6400,0
2026-03-26,64.9800,64.9800,64.9800,64.9800,0
2026-03-27,56.7800,56.7800,56.7800,56.7800,0
2026-03-30,61.5800,61.5800,61.5800,61.5800,0
2026-03-31,52.0900,52.0900,52.0900,52.0900,0
2026-04-01,47.3300,47.3300,47.3300,47.3300,0
2026-04-02,50.6800,50.6800,50.6800,50.6800,0
2026-04-06,40.0700,40.0700,40.0700,40.0700,0
2026-04-07,49.4500,49.4500,49.4500,49.4500,0
2026-04-08,37.4400,37.4400,37.4400,37.4400,0
2026-04-09,45.7600,45.7600,45.7600,45.7600,0
2026-04-10,47.5800,47.5800,47.5800,47.5800,0
2026-04-13,50.8900,50.8900,50.8900,50.8900,0
2026-04-14,52.2200,52.2200,52.2200,52.2200,0
2026-04-15,50.4500,50.4500,50.4500,50.4500,0
2026-04-16,53.4300,53.4300,53.4300,53.4300,0
2026-04-17,52.3500,52.3500,52.3500,52.3500,0
2026-04-20,48.7500,48.7500,48.7500,48.7500,0
2026-04-21,58.9600,58.9600,58.9600,58.9600,0
2026-04-22,56.0500,56.0500,56.0500,56.0500,0
2026-04-23,48.9600,48.9600,48.9600,48.9600,0
2026-04-24,60.4400,60.4400,60.4400,60.4400,0
2026-04-27,56.0900,56.0900,56.0900,56.0900,0
2026-04-28,52.9400,52.9400,52.9400,52.9400,0
2026-04-29,54.6200,54.6200,54.6200,54.6200,0
2026-04-30,55.3300,55.3300,55.3300,55.3300,0
2026-05-01,55.7700,55.7700,55.7700,55.7700,0
2026-05-04,58.8000,58.8000,58.8000,58.8000,0
2026-05-05,48.2000,48.2000,48.2000,48.2000,0
2026-05-06,57.0500,57.0500,57.0500,57.0500,0
2026-05-07,60.0100,60.0100,60.0100,60.0100,0
2026-05-08,53.5100,53.5100,53.5100,53.5100,0
2026-05-11,55.8800,55.8800,55.8800,55.8800,0
2026-05-12,62.2500,62.2500,62.2500,62.2500,0
2026-05-13,55.2300,55.2300,55.2300,55.2300,0
2026-05-14,56.2200,56.2200,56.2200,56.2200,0
2026-05-15,56.7700,56.7700,56.7700,56.7700,0
2026-05-18,58.0100,58.0100,58.0100,58.0100,0
2026-05-19,58.2900,58.2900,58.2900,58.2900,0
2026-05-20,52.3500,52.3500,52.3500,52.3500,0
2026-05-21,50.9400,50.9400,50.9400,50.9400,0
2026-05-22,47.3800,47.3800,47.3800,47.3800,0
2026-05-26,49.4600,49.4600,49.4600,49.4600,0
2026-05-27,63.6900,63.6900,63.6900,63.6900,0
2026-05-28,62.6300,62.6300,62.6300,62.6300,0
2026-05-29,60.0600,60.0600,60.0600,60.0600,0
2026-06-01,60.4400,60.4400,60.4400,60.4400,0
2026-06-02,44.3700,44.3700,44.3700,44.3700,0
2026-06-03,48.7800,48.7800,48.7800,48.7800,0
2026-06-04,56.7500,56.7500,56.7500,56.7500,0
2026-06-05,63.4700,63.4700,63.4700,63.4700,0
2026-06-08,60.1800,60.1800,60.1800,60.1800,0
2026-06-09,57.3100,57.3100,57.3100,57.3100,0
2026-06-10,53.3000,53.3000,53.3000,53.3000,0
